Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Benzamacril Isobutyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2708.htm,Not approved,benzamacril isobutyl,88107-27-1,-,2-methylpropyl 2-cyano-3-[methyl(phenylmethyl)amino]-2-propenoate,-,No information available,Not tested,Not tested
Benzamacril,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2707.htm,Not approved,benzamacril,127087-86-9,-,2-cyano-3-[methyl(phenyl)amino]-2-propenoic acid,-,No information available,Not tested,Not tested
Benzamorf,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2709.htm,Not approved,benzamorf (Ref: BAS 276F),12068-08-5,-,4-dodecylbenzenesulfonic acid compound with morpholine,-,No information available,Not tested,Not tested
Benzfendizone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1017.htm,Not approved,benzfendizone (Ref: F 3686),158755-95-4,-,"methyl 2-[2-[[4-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl]phenoxy]methyl]-5-ethylphenoxy]propanoate",-,No further information available,Not tested,Not tested
Benzipram,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2710.htm,Not approved,benzipram (Ref: S-18 510),35256-86-1,-,"3,5-dimethyl-N-(1-methylethyl)-N-(phenylmethyl)benzamide",-,No further information available,Not tested,Not tested
Benzobicyclon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1168.htm,Not approved,benzobicyclon (Ref: SB 500),156963-66-5,-,3-[2-chloro-4-(methylsulfonyl)benzoyl]-4-(phenylthio)bicyclo[3.2.1]oct-3-en-2-one,-,No further information available,Not tested,Not tested
Benzofenap,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1167.htm,Not approved,benzofenap (Ref: MY 71),82692-44-2,-,"2-[[4-(2,4-dichloro-3-methylbenzoyl)-1,3-dimethyl-1H-pyrazol-5-yl]oxy]-1-(4-methylphenyl)ethanone",0.0015,No further information available,Not tested,Not tested
Benzofluor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2711.htm,Not approved,benzofluor (Ref: MBR 18337),68672-17-3,-,4�-ethylthio-2-(trifluoromethyl)methanesulfonanilide, 4-ethylthio-α-α-α-trifluoromethanesulfon-o-toluidide,-,Not tested,Not tested
Benzoic Acid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1475.htm,Approved,benzoic acid,65-85-0,Not carcinogenic,carboxybenzene,5,"Large oral doses may cause abdominal pain, nausea and vomitingMay cause urticaria, asthma, rhinitis and anaphylactic shockPossible liver, kidney and brain toxicant",Not tested,Not tested
Benzovindiflupyr,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2621.htm,Approved,benzovindiflupyr,1072957-71-1,Not carcinogenic,"N-(9-(dichloromethylene)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",-,No information available,Not tested,Not tested
Benzoximate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/73.htm,Not approved,benzoximate,29104-30-1,-,"benzoic acid anhydride with 3-chloro-N-ethoxy-2,6-dimethoxybenzenecarboximidic acid",-,Hamful if inhaled,Not tested,Not tested
Benzoylprop-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1256.htm,Not approved,benzoylprop-ethyl (Ref: FX 2182 ),22212-55-1,-,"ethyl N-benzoyl-N-(3,4-dichlorophenyl)-DL-alaninate",-,Harmful if swallowed,Not tested,Not tested
Benzthiazuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1116.htm,Not approved,benzthiazuron (Ref: Bay 60618 ),1929-88-0,-,N-2-benzothiazolyl-N'-methylurea,-,"Protein metabolism disturbances, moderate emphysema and weight loss with chronic exposure",Not tested,Not tested
Benzyl Benzoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1473.htm,Not approved,benzyl benzoate,120-51-4,Not carcinogenic,benzyl benzoate,-,"May cause nausea and vomitingIn large doses may cause skin blistering, crusting & scaling",Not tested,Not tested
Beta-Cyfluthrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/74.htm,Approved,beta-cyfluthrin (Ref: OMS 3051),1820573-27-0,Not carcinogenic,"cyano(4-fluoro-3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",0.003,No further information available,Not tested,Not tested
Bicyclopyrone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1652.htm,Not approved,bicyclopyrone,352010-68-5,Carcinogenic,4-hydroxy-3-{2-[(2-methoxyethoxy)methyl]-6-(trifluoromethyl)-3-pyridylcarbonyl}bicyclo[3.2.1]oct-3-en-2-one,-,No further information available,Not tested,Not tested
Bifenazate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/76.htm,Approved (RAR active),bifenazate,149877-41-8,Not carcinogenic,"1-methylethyl 2-(4-methoxy[1,1'-biphenyl]-3-yl)hydrazinecarboxylate",0.01,Harmful if ingested,Not tested,Not tested
Bifenox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/77.htm,Approved,bifenox,42576-02-3,-,"methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate",0.3,Moderately toxic,Not tested,Not tested
Binapacryl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/79.htm,Not approved,binapacryl (Ref: FMC 9044),485-31-4,Carcinogenic,"(RS)-2-sec-butyl-4,6-dinitrophenyl 3-methylcrotonate",0.002,"Highly toxic and may damage liver, kidneys and nervous systemShows teratogenicity",Not tested,Not tested
Bioallethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/80.htm,Not approved,bioallethrin,584-79-2,Carcinogenic,"2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl (1R,3R)-2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate",-,May cause lung congestionUSEPA - some evidence to suggest possible human carcinogenEndocrine issues - Inhibition of estrogen-sensitive cells proliferation,Not tested,Not tested
Biopermethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2713.htm,Not approved,biopermethrin (Ref: NRDC 147),51877-74-8,-,"(1R-trans)-(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",-,No information available,Not tested,Not tested
Bioresmethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/81.htm,Not approved,bioresmethrin (Ref: FMC 17370),28434-01-7,Not carcinogenic,"[5-(phenylmethyl)-3-furanyl]methyl (1R,3R)-2,2-dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylate",0.03,Although of a low toxicity bioresmethrin is rapidly absorbed from the intestinal tract and moved around body,Not tested,Not tested
Biphenyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/82.htm,Not approved,biphenyl,92-52-4,Not carcinogenic,"1,1'-biphenyl",0.125,Exerts toxic effects on the central nervous system and liverMay cause skin sensitization or dermatitis,Not tested,Not tested
Bis(Methylmercury) Sulphate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2716.htm,Not approved,bis(methylmercury) sulphate (Ref: B4992),3810-81-9,-,dimethyl-micro-sulfatodimercury,-,Toxic if ingestedHarmful if inhaled or absorbed through the skin,Not tested,Not tested
Bismerthiazol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3106.htm,Not approved,bismerthiazol,79319-85-0,-,"5,5'-(methylenediimino)bis(1,3,4-thiadiazole-2(3H)-thione)",-,Possible thyroid toxicant,Not tested,Not tested
Bispyribac-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/83.htm,Approved,bispyribac-sodium (Ref: KIH-2023),125401-92-5,Not carcinogenic,"sodium 2,6-bis((4,6-dimethoxy-2-pyrimidinyl)oxy)benzoate",0.01,Possible liver toxicant,Not tested,Not tested
Bisthiosemi,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2640.htm,Not approved,bisthiosemi (Ref: NK 15561),39603-48-0,-,"2,2'-Methylenebis(hydrazinecarbothiamide)",-,No further information available,Not tested,Not tested
Bis-Trichloromethyl Sulfone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1621.htm,Not approved,bis-trichloromethyl sulfone,3064-70-8,-,bis-trichloromethyl sulfone,-,No further information available,Not tested,Not tested
Bistrifluron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1018.htm,Not approved,bistrifluron (Ref: DBI-3204),201593-84-2,Not carcinogenic,"N-[[[2-chloro-3,5-bis(trifluoromethyl)phenyl]amino]carbonyl]-2,6-difluorobenzamide",-,Possible liver toxicant,Not tested,Not tested
Bitertanol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/84.htm,Not approved,bitertanol (Ref: KWG 0599),55179-31-2,Not carcinogenic,"β-([1,1'-biphenyl]-4-yloxy)-a-(1,1-dimethylethyl)-1H-1,2,4-triazole-1-ethanol",0.003,"Possible liver, adrenals & thymus toxicantEndocrine issues - Inhibition of aromatase activity, decrease of strogens production",Not tested,Not tested
Bixafen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1250.htm,Approved,bixafen,581809-46-3,Not carcinogenic,"N-(3',4'-dichloro-5-fluoro[1,1'-biphenyl]-2-yl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",0.02,Possible thyroid and liver toxicant,Not tested,Not tested
Bone Oil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1032.htm,Not approved,bone oil,8001-85-2,-,-,-,No further information available,Not tested,Not tested
Bordeaux Mixture,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/85.htm,Approved,Bordeaux mixture,8011-63-0,-,bordeaux mixture,0.15,No further information available,Not tested,Not tested
Boric Acid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2136.htm,Not approved,boric acid,10043-35-3,Not carcinogenic,boric acid,Subcutaneous LD50 = 1400 mg kg-1,"Slightly toxic, may cause gastro-intestinal problems",Not tested,Not tested
Boscalid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/86.htm,Approved,boscalid (Ref: BAS 510F),188425-85-6,Carcinogenic,"2-chloro-N-(4'-chloro[1,1'-biphenyl]-2-yl)-3-pyridinecarboxamide",0.04,Liver and thyroid toxicantUSEPA - some evidence to suggest possible human carcinogen,Not tested,Not tested
Broflanilide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3091.htm,Not approved,broflanilide (Ref: MCI-8007),1207727-04-5,-,"3-(benzoylmethylamino)-N-(2-bromo-4-(1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl)-6-(trifluoromethyl)phenyl)-2-fluorobenzamide",-,No information available,Not tested,Not tested
Brofluthrinate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2634.htm,Not approved,brofluthrinate,160791-64-0,-,(3-(4-bromophenoxy)phenyl)cyanomethyl 4-(difluoromethoxy)-α-(1-methylethyl)benzeneacetate,-,No information available,Not tested,Not tested
Bromacil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/88.htm,Not approved,bromacil (Ref: DPX N0976),314-40-9,Carcinogenic,"5-bromo-6-methyl-3-(1-methylpropyl)-2,4(1H,3H)-pyrimidinedione",0.13,"May cause inflammation of the stomach and intestinal mucous membranes, gastroenteritis or liver damage",Not tested,Not tested
Bromadiolone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/89.htm,Approved,bromadiolone (Ref: LM 637),28772-56-7,-,"3-[3-(4'-bromo[1,1'-biphenyl]-4-yl)-3-hydroxy-1-phenylpropyl]-4-hydroxy-2H-1-benzopyran-2-one",Not relevant,"Anticoagulant and may cause haemorrhagingIt is very toxic by inhalation, contact with the skin and by ingestionSlight eye irritant",Not tested,Not tested
Bromethalin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/90.htm,Not approved,bromethalin (Ref: OMS 3020),63333-35-7,Not carcinogenic,"N-methyl-2,4-dinitro-N-(2,4,6-tribromophenyl)-6-(trifluoromethyl)benzenamine",-,Highly toxicBoth acute and chronic effects can occur following ingestion,Not tested,Not tested
Bromfenvinfos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2717.htm,Not approved,bromfenvinfos (Ref: IPO-62),58580-14-6,-,"2-bromo-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",-,No further information available,Not tested,Not tested
Bromobonil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2411.htm,Not approved,bromobonil,25671-46-9,-,"2,6-dibromo-4-cyanophenyl (tetrahydro-2-furanyl)methyl carbonate",-,No further information available,Not tested,Not tested
Bromobutide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1372.htm,Not approved,bromobutide (Ref: S 4347 ),74712-19-9,-,"2-bromo-3,3-dimethyl-N-(1-methyl-1-phenylethyl)butanamide",-,May cause damage to lungs and mucous membranes,Not tested,Not tested
Bromocyclen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/91.htm,Not approved,bromocyclen,1715-40-8,-,"5-(bromomethyl)-1,2,3,4,7,7-hexachlorobicyclo[2.2.1]hept-2-ene",-,May cause vomiting and convulsions if ingested,Not tested,Not tested
Bromomethane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/462.htm,Not approved,bromomethane,74-83-9,Not carcinogenic,bromomethane,0.001,"Mutagenic potentialHighly toxicBrain, kidney, respiratory toxicantIARC Group 3 carcinogen",Not tested,Not tested
Bromophos-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/94.htm,Not approved,bromophos-ethyl (Ref: SHG-2225),4824-78-6,Not carcinogenic,"O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl phosphorothioate",0.003,Possible respiratory toxicant,Not tested,Not tested
Bromoxynil Heptanoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1061.htm,Approved,bromoxynil heptanoate,56634-95-8,Carcinogenic,"2,6-dibromo-4-cyanophenyl heptanoate",0.01,Possible liver toxicant,Not tested,Not tested
Bromoxynil Octanoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/746.htm,Approved,bromoxynil octanoate,1689-99-2,Carcinogenic,"2,6-dibromo-4-cyanophenyl octanoate",0.01,Possible liver toxicant,Not tested,Not tested
Bromoxynil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/96.htm,Approved,bromoxynil (Ref: ENT 20852),1689-84-5,Carcinogenic,"3,5-dibromo-4-hydroxybenzonitrile",0.03,USEPA - possible human carcinogenPossible liver and thyroid toxicant,Not tested,Not tested
Brompyrazon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2641.htm,Not approved,brompyrazon (Ref: BAS 2430H),3042-84-0,-,5-amino-4-bromo-2-phenyl-3(2H)-pyridazinone,-,"Possible lung toxicantMay cause depression, hallucinosis, and schizophreniform psychosis is inhaled or ingested",Not tested,Not tested
Bromuconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/97.htm,Approved,bromuconazole (Ref: LS 860263),116255-48-2,Not carcinogenic,"1-[[4-bromo-2-(2,4-dichlorophenyl)tetrahydro-2-furanyl]methyl]-1H-1,2,4-triazole",0.01,Moderately toxicPossible liver toxicant,Not tested,Not tested
Brucine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3151.htm,Not approved,brucine,357-57-3,-,-,-,"Highly toxicMay cause nausea, vomiting, twitching and convulsions in large doses",Not tested,Not tested
Bufencarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1587.htm,Not approved,bufencarb (Ref: RE-5353),8065-36-9,-,reaction product in which the main components are (RS)-3-(1-methylbutyl)phenyl methylcarbamate and 3-(1-ethylpropyl)phenyl methylcarbamate,-,No further information available,Not tested,Not tested
Buminafos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1034.htm,Not approved,buminafos (Ref: CKB 1028A ),51249-05-9,Not carcinogenic,dibutyl [1-(butylamino)cyclohexyl]phosphonate,-,"Toxic if inhaled, ingested or absorbed through the skinMay cause heavy salivation and secretion in the lungs, lachrymation, blurred vision and possibly coma and death",Not tested,Not tested
Bupirimate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/99.htm,Approved,bupirimate (Ref: PP 588),41483-43-6,Not carcinogenic,5-butyl-2-(ethylamino)-6-methyl-4-pyrimidinyl dimethylsulfamate,0.05,Possible liver & thyroid toxicantEndocrine issues - Activation of Pregnane X cellular receptor,Not tested,Not tested
Butachlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/101.htm,Not approved,butachlor (Ref: CP 53619),23184-66-9,Carcinogenic,"N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)acetamide",-,USEPA - possible human carcinogen,Not tested,Not tested
Butamifos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1682.htm,Not approved,butamifos (Ref: S-2846),36335-67-8,-,O-ethyl O-(5-methyl-2-nitrophenyl) (1-methylpropyl)phosphoramidothioate,-,Harmful if swallowed,Not tested,Not tested
Butanethiol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1467.htm,Not approved,butanethiol,109-79-5,-,butane-1-thiol,-,The offensive smell of mercaptans can cause headache and nauseaHigh concentrations may cause pulmonary irritation,Not tested,Not tested
Butathiofos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2643.htm,Not approved,butathiofos (Ref: Dowco 429),90338-20-8,-,"O-(2-(1,1-dimethylethyl)-5-pyrimidinyl) O,O-diethyl phosphorothioate",-,No further information available,Not tested,Not tested
Butenachlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2644.htm,Not approved,butenachlor (Ref: KH-218),87310-56-3,-,"N-(((2Z)-2-butenyloxy)methyl)-2-chloro-N-(2,6-diethylphenyl)acetamide",-,No  further information available,Not tested,Not tested
Buthiobate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2646.htm,Not approved,buthiobate (Ref: S-1358),51308-54-4,-,"butyl (4-(1,1-dimethylethyl)phenyl)methyl 3-pyridinylcarbonimidodithioate",-,No further information available,Not tested,Not tested
Buthiuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2719.htm,Not approved,buthiuron (Ref: MET 1489),30043-55-1,-,"N-[5-(butylsulfonyl)-1,3,4-thiadiazol-2-yl]-N,N��-dimethylurea",-,No further information available,Not tested,Not tested
Butocarboxim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/102.htm,Not approved,butocarboxim (Ref: Co 755),34681-10-2,Carcinogenic,3-(methylthio)-2-butanone O-[(methylamino)carbonyl]oxime,-,No further information available,Not tested,Not tested
Butopyronoxyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1726.htm,Not approved,butopyronoxyl,532-34-3,Not carcinogenic,"butyl 3,4-dihydro-2,2-dimethyl-4-oxo-2H-pyran-6-carboxylate",-,May cause irritation of the digestive tract,Not tested,Not tested
Butoxycarboxim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/103.htm,Not approved,butoxycarboxim (Ref: Co 859),34681-23-7,Not carcinogenic,3-(methylsulfonyl)-2-butanone O-[(methylamino)carbonyl]oxime,-,Highly toxic,Not tested,Not tested
Butroxydim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1087.htm,Not approved,butroxydim (Ref: ICIA0500),138164-12-2,-,"2-[1-(ethoxyimino)propyl]-3-hydroxy-5-[2,4,6-trimethyl-3-(1-oxobutyl)phenyl]-2-cyclohexen-1-one",0.025,No further information available,Not tested,Not tested
Buturon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1278.htm,Not approved,buturon (Ref: H 95 (BASF)),3766-60-7,-,N'-(4-chlorophenyl)-N-methyl-N-(1-methyl-2-propynyl)urea,-,No further information available,Not tested,Not tested
Cacodylic Acid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2879.htm,Not approved,cacodylic acid,75-60-5,Carcinogen,"As,As-dimethylarsinic acid",-,"Highly toxic by ingestion, inhalation, or skin contactHeart, CNS, bladder, thyroid, kidney and liver toxicantUSEPA - probable human carcinogen",Not tested,Not tested
Cadusafos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/106.htm,Not approved,cadusafos (Ref: FMC 67825),95465-99-9,Not carcinogenic,"O-ethyl S,S-bis(1-methylpropyl) phosphorodithioate",0.0004,No further information available,Not tested,Not tested
Calciferol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/107.htm,Not approved,calciferol,50-14-6,-,"(3β,5Z,7E,22E)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol",-,Very hazardous by inhalationkidney toxicant,Not tested,Not tested
Calcium Acid Methanearsonate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2182.htm,Not approved,calcium acid methanearsonate,5902-95-4,Carcinogenic,calcium methyl-dioxido-oxo-γ5-arsane,-,"Highly toxicLiver, kidney, renal and cardiovascular system toxicantMay cause anemia, leucopenia and thrombocytopeniaMay damage muscular coordination",Not tested,Not tested
Calcium Arsenate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2544.htm,Not approved,calcium arsenate,7778-44-1,Carcinogen,"arsenic acid, calcium salt",-,Highly toxic - causes systemic health effectsLiver & kidney toxicantMay cause marrow damage,Not tested,Not tested
Calcium Carbide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1395.htm,Approved,calcium carbide,75-20-7,Not carcinogenic,-,None allocated,May cause dermatitis,Not tested,Not tested
Calcium Carbonate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/108.htm,Approved,calcium carbonate,471-34-1,Not carcinogenic,Note: Chalk is not listed on Annex 1,None allocated,May cause hypotensionMay cause dose related constipation and/or mild gastrointestinal discomfort,Not tested,Not tested
Calcium Chloride,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/109.htm,Not approved,calcium chloride,10043-52-4,Not carcinogenic,calcium chloride,-,No further information available,Not tested,Not tested
Calcium Cyanamide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2720.htm,Not approved,calcium cyanamide,156-62-7,Not carcinogenic,calcium cyanamide,-,"May cause coughing, wheezing, shortness of breath, rapid heart rate, headache, dizziness and fatigueHigh doses may cause coma and death",Not tested,Not tested
